Total Lakage,Runtime Dynamic,CPI,Energy,EDP,label
0.65044,0.59982,1.231318,1.5394676426799998,1.8955742188494518,l3_cache=4MB_l2_cache=512kB_decode_width=2_num_fu_intALU=2
0.65044,0.59992,1.23066,1.5387680376000004,1.8937002731528165,l3_cache=4MB_l2_cache=512kB_decode_width=2_num_fu_intALU=4
0.65044,0.59983,1.231267,1.5394161920899998,1.8954323565860776,l3_cache=4MB_l2_cache=512kB_decode_width=2_num_fu_intALU=8
0.65052,0.6159,1.203557,1.52420865594,1.8344719973171786,l3_cache=4MB_l2_cache=512kB_decode_width=4_num_fu_intALU=16
0.65052,0.61567,1.204904,1.5256373957599998,1.8382466007008067,l3_cache=4MB_l2_cache=512kB_decode_width=4_num_fu_intALU=2
0.65052,0.61603,1.202799,1.52340507345,1.8323500989405865,l3_cache=4MB_l2_cache=512kB_decode_width=4_num_fu_intALU=4
0.65052,0.6159,1.203578,1.52423525076,1.8345360146392196,l3_cache=4MB_l2_cache=512kB_decode_width=4_num_fu_intALU=8
0.65069,0.66171,1.2019,1.57737356,1.8958452817640001,l3_cache=4MB_l2_cache=512kB_decode_width=8_num_fu_intALU=16
0.65069,0.66185,1.201369,1.57684486726,1.8943725413352788,l3_cache=4MB_l2_cache=512kB_decode_width=8_num_fu_intALU=2
0.65069,0.6617,1.201883,1.57733923037,1.8957772062147868,l3_cache=4MB_l2_cache=512kB_decode_width=8_num_fu_intALU=4
0.65069,0.66179,1.201564,1.5770287187199998,1.894900935380078,l3_cache=4MB_l2_cache=512kB_decode_width=8_num_fu_intALU=8
0.77159,0.58575,1.291364,1.75282001176,2.2635286616664403,l3_cache=8MB_l2_cache=128kB_decode_width=1_num_fu_intALU=16
0.77159,0.58579,1.291061,1.75246038018,2.262533250895571,l3_cache=8MB_l2_cache=128kB_decode_width=1_num_fu_intALU=2
0.77159,0.58577,1.291185,1.7526028716,2.262934538766846,l3_cache=8MB_l2_cache=128kB_decode_width=1_num_fu_intALU=4
